Date,Open,High,Low,Close,Volume,Market Cap,cons_date,date_diff,pos_chg,cum_pos,cost,market_value,cum_cost,pct_return
2018-01-30,11306.8,11307.2,10036.2,10106.3,"8,637,860,000","190,339,000,000",1900-01-01,-43128 days +00:00:00.000000000,0,1,0.0,10106.3,13980.6,-0.277119723045
2018-01-31,10108.2,10381.6,9777.42,10221.1,"8,041,160,000","170,183,000,000",1900-01-01,-43129 days +00:00:00.000000000,0,1,0.0,10221.1,13980.6,-0.26890834442
2018-02-01,10237.3,10288.8,8812.28,9170.54,"9,959,400,000","172,372,000,000",1900-01-01,-43130 days +00:00:00.000000000,0,1,0.0,9170.54,13980.6,-0.344052472712
2018-02-02,9142.28,9142.28,7796.49,8830.75,"12,726,900,000","153,953,000,000",1900-01-01,-43131 days +00:00:00.000000000,0,1,0.0,8830.75,13980.6,-0.368356865943
2018-02-03,8852.12,9430.75,8251.63,9174.91,"7,263,790,000","149,085,000,000",1900-01-01,-43132 days +00:00:00.000000000,0,1,0.0,9174.91,13980.6,-0.343739896714
2018-02-04,9175.7,9334.87,8031.22,8277.01,"7,073,550,000","154,553,000,000",1900-01-01,-43133 days +00:00:00.000000000,0,1,0.0,8277.01,13980.6,-0.4079646081
2018-02-05,8270.54,8364.84,6756.68,6955.27,"9,285,290,000","139,325,000,000",1900-01-01,-43134 days +00:00:00.000000000,0,1,0.0,6955.27,13980.6,-0.502505614924
2018-02-06,7051.75,7850.7,6048.26,7754.0,"13,999,800,000","118,810,000,000",1900-01-01,-43135 days +00:00:00.000000000,0,1,0.0,7754.0,13980.6,-0.445374304393
2018-02-07,7755.49,8509.11,7236.79,7621.3,"9,169,280,000","130,683,000,000",1900-01-01,-43136 days +00:00:00.000000000,0,1,0.0,7621.3,13980.6,-0.45486602864
2018-02-08,7637.86,8558.77,7637.86,8265.59,"9,346,750,000","128,714,000,000",1900-01-01,-43137 days +00:00:00.000000000,0,1,0.0,8265.59,13980.6,-0.408781454301
2018-02-09,8271.84,8736.98,7884.71,8736.98,"6,784,820,000","139,412,000,000",1900-01-01,-43138 days +00:00:00.000000000,0,1,0.0,8736.98,13980.6,-0.375064017281
2018-02-10,8720.08,9122.55,8295.47,8621.9,"7,780,960,000","146,981,000,000",1900-01-01,-43139 days +00:00:00.000000000,0,1,0.0,8621.9,13980.6,-0.383295423658
2018-02-11,8616.13,8616.13,7931.1,8129.97,"6,122,190,000","145,245,000,000",1900-01-01,-43140 days +00:00:00.000000000,1,2,8129.97,16259.94,22110.57,-0.264607832363
2018-02-12,8141.43,8985.92,8141.43,8926.57,"6,256,440,000","137,258,000,000",1900-01-01,-43141 days +00:00:00.000000000,0,2,0.0,17853.14,22110.57,-0.192551797624
2018-02-13,8926.72,8958.47,8455.41,8598.31,"5,696,720,000","150,516,000,000",1900-01-01,-43142 days +00:00:00.000000000,0,2,0.0,17196.62,22110.57,-0.222244383569
2018-02-14,8599.92,9518.54,8599.92,9494.63,"7,909,820,000","145,023,000,000",1900-01-01,-43143 days +00:00:00.000000000,0,2,0.0,18989.26,22110.57,-0.141168228589
2018-02-15,9488.32,10234.8,9395.58,10166.4,"9,062,540,000","160,025,000,000",1900-01-01,-43144 days +00:00:00.000000000,0,2,0.0,20332.8,22110.57,-0.0804036259581
2018-02-16,10135.7,10324.1,9824.82,10233.9,"7,296,160,000","170,960,000,000",1900-01-01,-43145 days +00:00:00.000000000,0,2,0.0,20467.8,22110.57,-0.0742979488996
2018-02-17,10207.5,11139.5,10149.4,11112.7,"8,660,880,000","172,191,000,000",1900-01-01,-43146 days +00:00:00.000000000,0,2,0.0,22225.4,22110.57,0.00519344367875
2018-02-18,11123.4,11349.8,10326.0,10551.8,"8,744,010,000","187,663,000,000",1900-01-01,-43147 days +00:00:00.000000000,0,2,0.0,21103.6,22110.57,-0.0455424713158
2018-02-19,10552.6,11273.8,10513.2,11225.3,"7,652,090,000","178,055,000,000",1900-01-01,-43148 days +00:00:00.000000000,0,2,0.0,22450.6,22110.57,0.0153786175571
2018-02-20,11231.8,11958.5,11231.8,11403.7,"9,926,540,000","189,536,000,000",1900-01-01,-43149 days +00:00:00.000000000,0,2,0.0,22807.4,22110.57,0.0315156958866
2018-02-21,11372.2,11418.5,10479.1,10690.4,"9,405,340,000","191,927,000,000",1900-01-01,-43150 days +00:00:00.000000000,0,2,0.0,21380.8,22110.57,-0.0330054810889
2018-02-22,10660.4,11039.1,9939.09,10005.0,"8,040,080,000","179,936,000,000",1900-01-01,-43151 days +00:00:00.000000000,0,2,0.0,20010.0,22110.57,-0.0950029782136
2018-02-23,9937.07,10487.3,9734.56,10301.1,"7,739,500,000","167,746,000,000",1900-01-01,-43152 days +00:00:00.000000000,0,2,0.0,20602.2,22110.57,-0.0682194081835
2018-02-24,10287.7,10597.2,9546.97,9813.07,"6,917,930,000","173,682,000,000",1900-01-01,-43153 days +00:00:00.000000000,0,2,0.0,19626.14,22110.57,-0.112363905589
2018-02-25,9796.42,9923.22,9407.06,9664.73,"5,706,940,000","165,407,000,000",1900-01-01,-43154 days +00:00:00.000000000,0,2,0.0,19329.46,22110.57,-0.125781922402
2018-02-26,9669.43,10475.0,9501.73,10366.7,"7,287,690,000","163,283,000,000",1900-01-01,-43155 days +00:00:00.000000000,0,2,0.0,20733.4,22110.57,-0.0622855946274
2018-02-27,10393.9,10878.5,10246.1,10725.6,"6,966,180,000","175,536,000,000",1900-01-01,-43156 days +00:00:00.000000000,0,2,0.0,21451.2,22110.57,-0.029821483571
2018-02-28,10687.2,11089.8,10393.1,10397.9,"6,936,190,000","180,510,000,000",1900-01-01,-43157 days +00:00:00.000000000,0,2,0.0,20795.8,22110.57,-0.0594634150092
2018-03-01,10385.0,11052.3,10352.7,10951.0,"7,317,280,000","175,427,000,000",1900-01-01,-43158 days +00:00:00.000000000,0,2,0.0,21902.0,22110.57,-0.00943304491924
2018-03-02,10977.4,11189.0,10850.1,11086.4,"7,620,590,000","185,456,000,000",1900-01-01,-43159 days +00:00:00.000000000,0,2,0.0,22172.8,22110.57,0.00281449098779
2018-03-03,11101.9,11528.2,11002.4,11489.7,"6,690,570,000","187,581,000,000",1900-01-01,-43160 days +00:00:00.000000000,0,2,0.0,22979.4,22110.57,0.0392947807316
2018-03-04,11497.4,11512.6,11136.1,11512.6,"6,084,150,000","194,289,000,000",1900-01-01,-43161 days +00:00:00.000000000,0,2,0.0,23025.2,22110.57,0.0413661882077
2018-03-05,11532.4,11704.1,11443.9,11573.3,"6,468,540,000","194,903,000,000",1900-01-01,-43162 days +00:00:00.000000000,0,2,0.0,23146.6,22110.57,0.0468567748367
2018-03-06,11500.1,11500.1,10694.3,10779.9,"6,832,170,000","194,378,000,000",1900-01-01,-43163 days +00:00:00.000000000,0,2,0.0,21559.8,22110.57,-0.0249098055817
2018-03-07,10803.9,10929.5,9692.12,9965.57,"8,797,910,000","182,631,000,000",1900-01-01,-43164 days +00:00:00.000000000,0,2,0.0,19931.14,22110.57,-0.0985695981605
2018-03-08,9951.44,10147.4,9335.87,9395.01,"7,186,090,000","168,241,000,000",1900-01-01,-43165 days +00:00:00.000000000,0,2,0.0,18790.02,22110.57,-0.150179303383
2018-03-09,9414.69,9466.35,8513.03,9337.55,"8,704,190,000","159,185,000,000",1900-01-01,-43166 days +00:00:00.000000000,0,2,0.0,18675.1,22110.57,-0.155376817513
2018-03-10,9350.59,9531.32,8828.47,8866.0,"5,386,320,000","158,119,000,000",1900-01-01,-43167 days +00:00:00.000000000,0,2,0.0,17732.0,22110.57,-0.198030625172
2018-03-11,8852.78,9711.89,8607.12,9578.63,"6,296,370,000","149,716,000,000",1900-01-01,-43168 days +00:00:00.000000000,0,2,0.0,19157.26,22110.57,-0.133570052694
2018-03-12,9602.93,9937.5,8956.43,9205.12,"6,457,400,000","162,421,000,000",1900-01-01,-43169 days +00:00:00.000000000,0,2,0.0,18410.24,22110.57,-0.16735570363
2018-03-13,9173.04,9470.38,8958.19,9194.85,"5,991,140,000","155,168,000,000",1900-01-01,-43170 days +00:00:00.000000000,1,3,9194.85,27584.55,31305.42,-0.118857054146
2018-03-14,9214.65,9355.85,8068.59,8269.81,"6,438,230,000","155,891,000,000",1900-01-01,-43171 days +00:00:00.000000000,0,3,0.0,24809.43,31305.42,-0.207503684665
2018-03-15,8290.76,8428.35,7783.05,8300.86,"6,834,430,000","140,275,000,000",1900-01-01,-43172 days +00:00:00.000000000,0,3,0.0,24902.58,31305.42,-0.204528161577
