PID,AID,Date,Open,High,Low,Close,Adj Close,Volume,YMD,day,qty_chg_1,mv_1,cum_cost_1,return_1
P1,CRM,2019-02-12,161.25,163.389999,160.029999,162.78999299999998,162.78999299999998,5631700,2019-02-12,12,0.0,6980.859908124628,6000.0,1.1634766513541048
P1,CRM,2019-02-13,163.440002,163.570007,160.270004,160.399994,160.399994,5296000,2019-02-13,13,0.0,6878.370511251457,6000.0,1.1463950852085762
P1,CRM,2019-02-14,159.470001,160.440002,156.71000700000002,159.470001,159.470001,5061100,2019-02-14,14,0.0,6838.489983407608,6000.0,1.1397483305679346
P1,CRM,2019-02-15,160.990005,161.220001,158.08999599999999,159.050003,159.050003,5282000,2019-02-15,15,0.0,6820.479372646709,6000.0,1.1367465621077848
P1,CRM,2019-02-19,159.66000400000001,161.479996,159.139999,160.610001,160.610001,3883200,2019-02-19,19,0.0,6887.376159692793,6000.0,1.1478960266154656
P1,CRM,2019-02-20,160.330002,161.490005,157.21000700000002,158.53999299999998,158.53999299999998,7047200,2019-02-20,20,0.0,6798.608812324596,6000.0,1.1331014687207661
P1,CRM,2019-02-21,157.699997,160.479996,157.300003,159.630005,159.630005,4463000,2019-02-21,21,0.0,6845.351372662288,6000.0,1.1408918954437146
P1,CRM,2019-02-22,160.470001,161.71000700000002,160.199997,161.309998,161.309998,4175000,2019-02-22,22,0.0,6917.393858588496,6000.0,1.152898976431416
P1,CRM,2019-02-25,162.509995,163.059998,160.929993,161.360001,161.360001,5076700,2019-02-25,25,0.0,6919.538117775152,6000.0,1.1532563529625255
P1,CRM,2019-02-26,160.809998,163.380005,159.869995,163.0,163.0,4496300,2019-02-26,26,0.0,6989.865556565966,6000.0,1.1649775927609942
P1,CRM,2019-02-27,162.28999299999998,163.529999,160.5,163.119995,163.119995,4278300,2019-02-27,27,0.0,6995.011255446088,6000.0,1.1658352092410147
P1,CRM,2019-02-28,163.0,164.600006,162.169998,163.649994,163.649994,6908100,2019-02-28,28,0.0,7017.738996275011,6000.0,1.1696231660458352
P1,CRM,2019-03-01,165.149994,166.149994,161.75,164.529999,164.529999,6919900,2019-03-01,01,6.077918957502698,8055.475908171366,7000.0,1.1507822725959096
P1,CRM,2019-03-04,165.559998,165.78999299999998,155.419998,158.5,158.5,17886300,2019-03-04,04,0.0,7760.243962835991,7000.0,1.1086062804051415
P1,CRM,2019-03-05,159.919998,160.880005,154.800003,156.970001,156.970001,16042900,2019-03-05,05,0.0,7685.334401303529,7000.0,1.0979049144719328
P1,CRM,2019-03-06,157.130005,160.25,156.279999,156.78999299999998,156.78999299999998,7436300,2019-03-06,06,0.0,7676.521114267174,7000.0,1.0966458734667393
P1,CRM,2019-03-07,156.08999599999999,157.58999599999999,154.809998,155.600006,155.600006,6916500,2019-03-07,07,0.0,7618.258720370624,7000.0,1.0883226743386607
P1,CRM,2019-03-08,152.020004,155.41000400000001,150.25,155.059998,155.059998,4800700,2019-03-08,08,0.0,7591.8196426300365,7000.0,1.0845456632328623
P1,CRM,2019-03-11,155.899994,157.770004,153.429993,157.649994,157.649994,5699500,2019-03-11,11,0.0,7718.627218798928,7000.0,1.1026610312569898
P1,CRM,2019-03-12,158.0,159.369995,157.16000400000001,158.279999,158.279999,4082100,2019-03-12,12,0.0,7749.472597333985,7000.0,1.107067513904855
P1,CRM,2019-03-13,158.850006,162.0,158.610001,159.809998,159.809998,5230600,2019-03-13,13,0.0,7824.382158866447,7000.0,1.1177688798380638
